Clostridium_botulinum_A_str_Hall	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no_information
Streptococcus_constellatus_subsp_pharyngis_SK1060	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Lactobacillus_plantarum_JDM1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no_information
Haemophilus_haemolyticus_M19501	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	no_information
Lactobacillus_amylolyticus_DSM_11664	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no_information
Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	no_information
Shigella_sonnei_Ss046	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	no_information
Klebsiella_pneumoniae_pneumoniae_MGH78578	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	no_information
Streptococcus_sanguinis_SK36	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Tropheryma_whipplei_str_Twist	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	no_information	Tropheryma	no_information
Citrobacter_koseri_ATCC_BAA_895	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	no_information
Filifactor_alocis_ATCC_35896	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	no_information
Serratia_marcescens_subsp_marcescens_Db11	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	no_information
Lactobacillus_salivarius_salivarius_UCC118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no_information
Alistipes_shahii_WAL_8301	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no_information
Bifidobacterium_pseudocatenulatum_DSM_20438	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	no_information
Clostridium_difficile_CD196	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no_information
Clostridium_difficile_R20291	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no_information
Bacteroides_ovatus_SD_CMC_3f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no_information
Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	no_information
Bacteroides_fragilis_3_1_12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no_information
Streptococcus_constellatus_subsp_constellatus_SK53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Parvimonas_micra_ATCC_33270	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	no_information
Clostridium_sordellii_ATCC_9714	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no_information
Bacteroides_ureolyticus_DSM_20703	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no_information
Lactobacillus_salivarius_HO66_ATCC_11741	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no_information
Coprococcus_catus_GD_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	no_information
Streptococcus_uberis_0140J	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Enterococcus_faecium_TX1330	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	no_information
Clostridium_butyricum_E4_str_BoNT_E_BL5262	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no_information
Streptococcus_anginosus_1_2_62CV	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Lactobacillus_johnsonii_NCC_533	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no_information
Ruminococcus_champanellensis_18P13	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	no_information
Desulfovibrio_piger_ATCC_29098	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	no_information
Ruminococcus_obeum_A2_162	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	no_information
Ruminococcus_bicirculans_80_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	no_information
Porphyromonas_gingivalis_W83	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	no_information
Lactobacillus_johnsonii_DPC_6026	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no_information
Butyrivibrio_fibrisolvens_16_4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	no_information
Bacteroides_xylanisolvens_SD_CC_1b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no_information
Anaerococcus_prevotii_DSM_20548	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	no_information
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Bifidobacterium_animalis_lactis_AD011	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	no_information
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no_information
Methanobrevibacter_smithii_ATCC_35061	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	no_information
Roseburia_intestinalis_L1_82	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no_information
Staphylococcus_xylosus_DMB3_Bh1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	no_information
Ureaplasma_urealyticum_serovar_8_str_ATCC_27618	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	no_information
Bacteroides_xylanisolvens_XB1A	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no_information
Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	no_information
Actinomyces_naeslundii_str_Howell_279	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	no_information
