compounds	producers_nb
M_DIHYDRO__45__DIOH__45__BENZOATE_c	3
M_CPD__45__11855_c	8
M_NMNH_c	446
M_CPD__45__1086_c	1
M_ASN_c	8
M_DIHYDROXYACETONE_c	42
M_CU__43___e	524
M_2__45__PHOSPHO__45__4__45__CYTIDINE__45__5__45__DIPHOSPHO__45__2__45__C__45__MET_c	2
M_DGDP_c	72
M_PYRUVATE_c	610
M_GLYCOL_c	24
M_DEHYDRO__45__DEOXY__45__GALACTONATE__45__PHOSPHATE_c	11
M_CPD__45__10683_c	6
M_FORMAMIDE_c	8
M_CPD__45__12335_c	16
M_DCDP_c	1
M_URACIL_c	1
M_DCTP_c	1
M_MYO__45__INOSITOL_c	164
M_D__45__RIBULOSE__45__1__45__P_c	27
M_PAPS_c	16
M_UMP_c	2
M_NA__43___e	731
M_KDO__45__8P_c	119
M_ADENYLOSUCC_c	8
M_DIAMINO__45__OH__45__PHOSPHORIBOSYLAMINO__45__PYR_c	4
M_ALPHA__45__MALTOSE_c	282
M_CPD__45__15975_c	269
M_D__45__6__45__P__45__GLUCONO__45__DELTA__45__LACTONE_c	89
M_CPD__45__15700_c	27
M_DEOXYXYLULOSE__45__5P_c	609
M_CPD__45__1133_c	69
M_DI__45__H__45__OROTATE_c	4
M_CPD__45__602_c	1
M_CPD__45__15818_c	420
M_GLYCERATE_c	179
M_DUTP_c	1
M_CPD__45__13851_c	27
M_FRUCTOSE__45__6P_c	623
M_DIHYDRONEOPTERIN__45__P_c	165
M_NAD_c	913
M_APS_c	90
M_GDP__45__TP_c	421
M_CPD__45__448_c	6
M_CPD__45__15709_c	623
M_D__45__BETA__45__D__45__HEPTOSE__45__1__45__P_c	2
M_FE__43__3_c	913
M_FRUCTOSE__45__16__45__DIPHOSPHATE_c	624
M_CPD__45__13118_c	177
M_PYRIDOXAL_PHOSPHATE_c	132
M_D__45__LACTATE_c	199
M_MANNOSE__45__1P_c	352
M_SUCROSE_c	1
M_AMINO__45__RIBOSYLAMINO__45__1H__45__3H__45__PYR__45__DIONE_c	1
M_CPD__45__15317_c	326
M_TARTRONATE__45__S__45__ALD_c	1
M_ZN__43__2_c	913
M_L__45__GLYCERALDEHYDE_c	1
M_FMNH2_c	1
M_GAP_c	628
M_FORMATE_c	435
M_CPD__45__15979_c	352
M_OXALACETIC_ACID_c	132
M_CPD__45__21481_c	1
M_CPD__45__20510_c	15
M_3__45__ENOLPYRUVYL__45__SHIKIMATE__45__5P_c	390
M_CPD__45__10330_c	420
M_LACTALD_c	9
M_DPG_c	619
M_CPD__45__358_c	6
M_PHOSPHORIBOSYL__45__ATP_c	344
M_CPD__45__13997_c	289
M_CPD__45__221_c	141
M_GLC__45__1__45__P_c	623
M_CPD__45__16569_c	5
M_DIHYDRO__45__NEO__45__PTERIN_c	165
M_ADENOSINE_c	686
M_DEHYDROQUINATE_c	494
M_GUANINE_c	428
M_2__45__ACETO__45__LACTATE_c	401
M_DIHYDRONEOPTERIN__45__P3_c	417
M_CPD__45__13043_c	362
M_CPD__45__8891_c	6
M_H2CO3_c	263
M_CPD__45__12367_c	20
M_NICOTINATE_NUCLEOTIDE_c	665
M_2__45__KETO__45__3__45__DEOXY__45__6__45__P__45__GLUCONATE_c	29
M_CELLOBIOSE_c	913
M_2__45__C__45__METHYL__45__D__45__ERYTHRITOL__45__4__45__PHOSPHATE_c	467
M_MALONATE__45__S__45__ALD_c	69
M_FE__43__2_c	913
M_XANTHOSINE_c	433
M_CPD__45__13746_c	144
M_CPD__45__18118_c	123
M_ADENOSYL__45__P4_c	259
M_PSICOSE_c	4
M_D__45__altropyranoses_c	2
M_ADP__45__D__45__GLYCERO__45__D__45__MANNO__45__HEPTOSE_c	2
M_SUCROSE__45__6P_c	9
M_ALPHA__45__GLUCOSE_c	777
M_GLYCOLALDEHYDE_c	185
M_MAL_c	44
M_GLYOX_c	2
M_DAMP_c	23
M_DEOXYINOSINE_c	105
M_CPD0__45__2474_c	526
M_3__45__oxo__45__D__45__glucose__45__6__45__phosphate_c	3
M_CPD__45__16500_c	5
M_CTP_c	2
M_GLC__45__6__45__P_c	6
M_GLC__45__D__45__LACTONE_c	80
M_ETOH_c	88
M_D__45__XYLULOSE_c	8
M_ERYTHROSE__45__4P_c	547
M_NADH_c	706
M_DIHYDROPTERIN__45__CH2OH__45__PP_c	165
M_PROTON_e	882
M_3__45__4__45__DIHYDROXYBENZOATE_c	2
M_CIT_c	4
M_RIBOSE__45__1P_c	596
M_RIBULOSE__45__5P_c	537
M_CPD__45__827_c	69
M_ALPHA__45__GLC__45__6__45__P_c	6
M_ARABINOSE__45__5P_c	247
M_CPD__45__14054_c	6
M_CPD__45__26_c	7
M_CPD__45__17511_c	1
M_GLC_c	913
M_3__45__DEHYDRO__45__SHIKIMATE_c	494
M_FMN_c	1
M_CPD__45__365_c	69
M_CPD__45__8050_c	74
M_NIACINAMIDE_c	259
M_ADP__45__L__45__GLYCERO__45__D__45__MANNO__45__HEPTOSE_c	2
M_DEAMIDO__45__NAD_c	665
M_CPD__45__12336_c	12
M_GLYCEROL__45__3P_c	248
M_DATP_c	267
M_CPD__45__3_c	913
M_PYRIDOXAL_c	10
M_TREHALOSE_c	282
M_SUC_c	6
M_ZN__43__2_e	276
M_XYLITOL_c	8
M_CPD__45__16618_c	1
M_UTP_c	2
M_6__45__PYRUVOYL__45__5678__45__TETRAHYDROPTERIN_c	6
M_7__45__AMINOMETHYL__45__7__45__DEAZAGUANINE_c	284
M_CPD__45__507_c	107
M_CPD__45__11932_c	56
M_OROTIDINE__45__5__45__PHOSPHATE_c	2
M_MN__43__2_c	913
M_PPI_c	913
M_DGMP_c	79
M_D__45__BETA__45__D__45__HEPTOSE__45__17__45__DIPHOSPHATE_c	9
M_L__45__DI__45__GMP_c	12
M_CPD__45__12365_c	13
M_DCMP_c	1
M_TAGATOSE__45__1__45__6__45__DIPHOSPHATE_c	80
M_5__45__DEHYDROGLUCONATE_c	24
M_DIHYDROXY__45__ACETONE__45__PHOSPHATE_c	621
M_ITP_c	404
M_CPD__45__20508_c	16
M_CPD__45__653_c	706
M_PHOSPHORIBOSYL__45__FORMAMIDO__45__CARBOXAMIDE_c	172
M_METHYL__45__GLYOXAL_c	214
M_CPD__45__19133_c	1
M_METOH_c	3
M_ATP_c	906
M_D__45__Ribopyranose_c	420
M_PHENYL__45__PYRUVATE_c	329
M_UDP_c	2
M_CPD__45__15826_c	12
M_DGTP_c	257
M_XTP_c	404
M_GLYCOLLATE_c	62
M_L__45__ASPARTATE__45__SEMIALDEHYDE_c	11
M_D__45__ALPHABETA__45__D__45__HEPTOSE__45__7__45__PHOSPHATE_c	86
M_ENOL__45__PHENYLPYRUVATE_c	329
M_RIBOFLAVIN_c	1
M_CPD__45__69_c	237
M_CPD__45__19753_c	119
M_C__45__DI__45__GMP_c	22
M_Glucopyranose_c	553
M_ADP__45__D__45__GLUCOSE_c	604
M_CPD__45__12427_c	32
M_DEOXY__45__RIBOSE__45__5P_c	99
M_CPD__45__2961_c	134
M_RIBOSE__45__5P_c	638
M_AMMONIUM_c	913
M_NADP_c	913
M_PHOSPHORIBULOSYL__45__FORMIMINO__45__AICAR__45__P_c	344
M_3__45__DEOXY__45__D__45__ARABINO__45__HEPTULOSONATE__45__7__45__P_c	494
M_OROTATE_c	2
M_ACETALD_c	370
M_2__45__KETO__45__ISOVALERATE_c	311
M_CARBAMYUL__45__L__45__ASPARTATE_c	4
M_URIDINE_c	2
M_CMP_c	2
M_L__45__LACTATE_c	214
M_AICAR_c	344
M_MG__43__2_c	913
M_CU__43___c	913
M_GLUCONATE_c	80
