species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
MB2bin64	1672	1327	2104	1886	229
MB2bin162	1678	1330	2050	2000	214
MB2bin105	1067	866	1550	1291	137
MB2bin47	1664	1336	2598	1908	210
MGS00051	1737	1384	2552	1939	249
MB2bin219	1730	1371	2467	1927	229
MB2bin159	1450	1153	2491	1667	202
MB2bin104	1281	972	2062	1530	170
MB2bin50	1385	1088	2411	1688	181
MB2bin141	1914	1557	3147	2146	255
MB2bin337	1536	1211	1995	1756	216
MB2bin124	1634	1271	2272	1864	219
MB2bin131	1425	1130	2150	1696	187
MB2bin31	1735	1385	2761	2015	225
MB2bin55	1673	1363	2362	1941	222
MB2bin134	1686	1345	2759	1963	208
MB2bin106	1453	1161	1973	1704	193
MB2bin258	1524	1211	2270	1752	196
MB2bin91	1745	1423	2852	2032	224
MB2bin49	1381	1078	2824	1655	203
MB2bin190	1423	1174	2596	1699	179
MB2bin353	1293	1015	1628	1549	174
MB2bin307	1494	1183	2264	1780	192
MB2bin37	1659	1321	2347	1904	216
MB2bin17	1496	1139	1933	1759	182
MB2bin298	1417	1135	1593	1678	195
MB2bin292	1943	1583	2478	2202	252
MB2bin248	1358	1068	1622	1633	194
MB2bin288	1655	1270	1883	1863	212
MB2bin69	1762	1390	2694	2034	237
MGS00057	1637	1302	1945	1821	221
MB2bin318	1555	1198	2213	1800	203
MGS00191	1425	1108	3222	1644	210
MB2bin199	1503	1124	2093	1738	210
MB2bin114	1896	1524	2698	2143	260
MB2bin80	1639	1332	2794	1907	207
MB2bin295	1556	1201	2236	1774	212
MB2bin328	1622	1254	2087	1878	205
MB2bin111	2321	1868	5462	2535	326
MB2bin300	1638	1259	2277	1909	209
MB2bin321	1662	1351	3040	1903	224
MB2bin333	1538	1200	2274	1784	195
MB2bin332	1322	1004	1389	1575	157
MB2bin325	1421	1145	1816	1757	180
MB2bin52	1798	1436	2806	2075	238
MB2bin276	1373	1100	1922	1579	197
MB2bin157	2197	1757	4731	2413	322
MB2bin33	1827	1477	3394	2154	233
MB2bin280	1512	1186	2144	1806	192
MGS00010	1846	1447	2710	2106	253
