compounds	producers_nb
M_GLT_c	1520
M_S__45__3__45__HYDROXYBUTANOYL__45__COA_c	22
M_PREPHENATE_c	530
M_4__45__HYDROXY__45__2__45__KETOVALERATE_c	45
M_D__45__Xylopyranose_c	294
M_10__45__FORMYL__45__THF_c	1520
M_FORMATE_c	1000
M_URACIL_c	98
M_UDP__45__MANNACA_c	74
M_CPD__45__822_c	1
M_DADP_c	6
M_CPD__45__1067_c	21
M_DUMP_c	483
M_ERYTHRONATE__45__4P_c	1181
M_ZN__43__2_c	1520
M_PHENYL__45__PYRUVATE_c	379
M_BUTYRIC_ACID_c	1520
M_GLYOX_c	910
M_CARBON__45__MONOXIDE_c	157
M_DEOXY__45__RIBOSE__45__5P_c	641
M_CPD__45__20826_c	813
M_CPD__45__17322_c	1520
M_L__45__BETA__45__ASPARTYL__45__P_c	1514
M_CPD__45__10330_c	799
M_SUCC__45__S__45__ALD_c	39
M_MEVALONATE_c	4
M_DPG_c	1448
M_2__45__KETO__45__3__45__DEOXY__45__D__45__GLUCARATE_c	4
M_GLN_c	1509
M_NADP_c	1520
M_K__45__HEXANOYL__45__COA_c	10
M_UDP__45__GLUCURONATE_c	14
M_CPD__45__16885_c	1
M_CPD__45__13085_c	19
M_CPD__45__318_c	117
M_CPD__45__14069_c	1
M_ARACHIDONIC_ACID_c	1520
M_CPD__45__12151_c	1
M_CPD__45__12601_c	141
M_ALPHA__45__MALTOSE_c	1
M_CPD__45__7830_c	1520
M_PPI_c	1520
M_S__45__LACTOYL__45__GLUTATHIONE_c	49
M_5__45__P__45__BETA__45__D__45__RIBOSYL__45__AMINE_c	1308
M_CPD__45__11495_c	2
M_CPD__45__8462_c	1520
M_ADENYLOSUCC_c	891
M_GLC_c	1520
M_PROTON_c	1520
M_FERRIC__45__ENTEROBACTIN__45__COMPLEX_c	30
M_CPD__45__658_c	191
M_CPD__45__12653_c	1520
M_HISTIDINOL_c	1242
M_CPD__45__26_c	27
M_SHIKIMATE__45__5P_c	1228
M_CPD__45__10353_c	97
M_24DINH2__45__PENTANOATE_c	58
M_PALMITATE_c	1520
M_CPD__45__14086_c	2
M_L__45__DEHYDRO__45__ASCORBATE_c	117
M_D__45__ALANINE_c	1472
M_FRUCTOSE__45__6P_c	1481
M_CYS__45__GLY_c	189
M_GLYCOLLATE_c	336
M_CMP_c	670
M_CPD__45__209_c	2
M_UDP_c	671
M_NA__43___e	39
M_CPD__45__196_c	349
M_CPD__45__18085_c	1515
M_2__45__KETO__45__ISOVALERATE_c	1461
M_ISOGLUTAMINE_c	46
M_VAL_c	1520
M_CPD__45__3736_c	66
M_CPD__45__448_c	11
M_PYRIDOXAL_c	1520
M_GLUCOSAMINE_c	2
M_TYRAMINE_c	13
M_CH33ADO_c	924
M_CPD__45__21429_c	1
M_3__45__OXOADIPATE__45__ENOL__45__LACTONE_c	3
M_2__45__METHYL__45__ACETO__45__ACETYL__45__COA_c	61
M_CPD0__45__1456_c	321
M_ZN__43__2_e	27
M_CPD__45__13518_c	6
M_CPD__45__12247_c	3
M_5__45__PHOSPHORIBOSYL__45__N__45__FORMYLGLYCINEAMIDINE_c	163
M_3__45__P__45__SERINE_c	1362
M_2__45__ALPHA__45__HYDROXYETHYL__45__THPP_c	54
M_UDP__45__N__45__ACETYLMURAMATE_c	321
M_UDP__45__AA__45__GLUTAMATE_c	316
M_4__45__AMINO__45__BUTYRALDEHYDE_c	43
M_QUINOLINATE_c	1103
M_CH3__45__MALONATE__45__S__45__ALD_c	8
M_NIACINE_c	1520
M_GUANOSINE_c	799
M_R__45__1__45__AMINOPROPAN__45__2__45__YL__45__PHOSPHATE_c	19
M_PYRIDOXAMINE_c	1520
M_OXYGEN__45__MOLECULE_c	674
M_CPD__45__235_c	125
M_CPD__45__578_c	9
M_D__45__Ribopyranose_c	799
M_TAGATOSE__45__1__45__6__45__DIPHOSPHATE_c	52
M_P__45__HYDROXY__45__PHENYLPYRUVATE_c	102
M_MYO__45__INOSITOL_c	583
M_ADENOSYL__45__P4_c	46
M_3__45__KETO__45__L__45__GULONATE_c	117
M_OH__45__PYR_c	22
M_BUTYRYL__45__P_c	519
M_GUANOSINE__45__5DP__45__3DP_c	882
M_CPD__45__108_c	896
M_D__45__PROLINE_c	60
M_CPD__45__5821_c	9
M_XANTHOSINE_c	874
M_CROTONYL__45__COA_c	39
M_CPD__45__15358_c	30
M_UDP__45__D__45__GALACTO__45__14__45__FURANOSE_c	192
M_DIMETHYLBENZIMIDAZOLE_c	1
M_D__45__SEDOHEPTULOSE__45__1__45__7__45__P2_c	39
M_Long__45__linear__45__glucans_c	185
M_CARBAMOYL__45__P_c	848
M_D__45__BETA__45__D__45__HEPTOSE__45__1__45__P_c	40
M_CPD__45__1136_c	6
M_CPD0__45__2056_c	79
M_2__45__KETOGLUTARATE_c	1515
M_ACETYL__45__GLU_c	119
M_ILE_c	1520
