species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
specI_v3_Cluster5071	2009	1648	3518	2237	278
specI_v3_Cluster8610	1699	1358	3333	1942	246
specI_v3_Cluster3602	1485	1228	2797	1753	187
specI_v3_Cluster8094	1644	1271	2335	1880	223
specI_v3_Cluster4664	1192	977	1779	1445	166
specI_v3_Cluster7694	1813	1485	2599	2063	242
specI_v3_Cluster3476	1944	1557	4111	2142	259
specI_v3_Cluster7633	942	723	1121	1213	97
specI_v3_Cluster10413	1149	919	1401	1357	149
specI_v3_Cluster3592	1856	1507	2575	2069	240
specI_v3_Cluster10448	1975	1604	3500	2191	273
specI_v3_Cluster3629	1541	1256	2616	1792	208
specI_v3_Cluster1350	1583	1292	2046	1833	209
specI_v3_Cluster7722	1607	1289	2210	1908	215
specI_v3_Cluster304	1592	1279	1733	1844	203
specI_v3_Cluster7671	1382	1091	1422	1649	189
specI_v3_Cluster2366	2158	1756	4652	2376	307
specI_v3_Cluster4652	2096	1715	5059	2416	285
specI_v3_Cluster2701	1574	1242	1949	1805	228
specI_v3_Cluster3589	1701	1306	1894	1912	235
specI_v3_Cluster9093	1962	1571	4792	2227	256
specI_v3_Cluster1592	1842	1487	2370	2074	252
specI_v3_Cluster1593	1922	1560	2397	2170	266
specI_v3_Cluster2550	1685	1362	2003	1936	239
specI_v3_Cluster2186	2146	1747	3833	2385	305
specI_v3_Cluster5391	2039	1615	2490	2232	289
specI_v3_Cluster7745	1305	1031	1754	1601	166
specI_v3_Cluster11518	1990	1582	2350	2204	287
specI_v3_Cluster4094	1994	1621	3904	2221	273
specI_v3_Cluster888	1596	1282	2045	1861	216
specI_v3_Cluster10435	1379	1084	1827	1578	195
specI_v3_Cluster10689	1210	970	1600	1464	166
specI_v3_Cluster10412	991	753	1608	1331	107
specI_v3_Cluster3664	1647	1321	2251	1882	216
specI_v3_Cluster2698	1624	1282	2197	1871	236
specI_v3_Cluster7692	1804	1437	2306	2046	251
specI_v3_Cluster7596	1902	1526	2876	2101	276
specI_v3_Cluster7668	1502	1190	2231	1686	222
specI_v3_Cluster4567	2020	1623	3881	2268	288
specI_v3_Cluster7726	1511	1201	2065	1763	198
specI_v3_Cluster8207	2301	1854	5860	2537	328
specI_v3_Cluster11851	1836	1467	3040	2109	244
specI_v3_Cluster3647	1697	1338	2411	1921	239
specI_v3_Cluster1406	1861	1484	2826	2098	258
specI_v3_Cluster4772	1741	1371	2448	1978	224
specI_v3_Cluster5265	1591	1224	2052	1845	216
specI_v3_Cluster8871	1847	1464	3248	2046	260
specI_v3_Cluster3646	1642	1297	2922	1866	227
specI_v3_Cluster1577	2115	1707	3769	2331	298
specI_v3_Cluster7621	1026	790	1475	1320	101
specI_v3_Cluster10415	1590	1244	2222	1830	211
specI_v3_Cluster3637	1961	1581	3678	2240	265
specI_v3_Cluster10173	1689	1362	2373	1949	224
specI_v3_Cluster3846	1550	1212	1789	1810	213
specI_v3_Cluster5237	1723	1392	3121	1997	222
specI_v3_Cluster3487	2108	1705	4144	2309	295
specI_v3_Cluster2042	1551	1245	1956	1787	215
specI_v3_Cluster1301	1822	1475	2585	2051	264
specI_v3_Cluster3341	1673	1332	3195	1890	226
specI_v3_Cluster1015	1907	1531	2759	2180	254
specI_v3_Cluster1595	1650	1319	2832	1898	223
specI_v3_Cluster7658	649	499	1244	945	66
specI_v3_Cluster5938	1236	965	1586	1472	174
specI_v3_Cluster7591	1239	1005	2269	1496	163
specI_v3_Cluster89	3011	2518	4741	3100	442
specI_v3_Cluster4546	1433	1127	1786	1725	176
specI_v3_Cluster7654	722	576	1284	960	73
specI_v3_Cluster100	3051	2551	5147	3174	434
specI_v3_Cluster3643	1854	1506	2739	2107	257
specI_v3_Cluster6795	2053	1680	3654	2339	297
specI_v3_Cluster6695	1787	1443	2654	2067	227
specI_v3_Cluster1098	1562	1236	2225	1807	208
specI_v3_Cluster2743	1929	1519	4427	2179	263
specI_v3_Cluster9995	1980	1612	3683	2242	272
specI_v3_Cluster11731	1928	1566	3653	2143	265
specI_v3_Cluster7660	1005	800	1442	1267	122
specI_v3_Cluster4783	1430	1120	1794	1719	172
specI_v3_Cluster10408	1165	912	2002	1541	125
specI_v3_Cluster7582	1559	1244	1819	1864	183
specI_v3_Cluster97	3077	2578	4669	3167	443
specI_v3_Cluster3351	1496	1185	2112	1723	185
specI_v3_Cluster2436	1842	1504	2510	2043	260
specI_v3_Cluster1017	1874	1503	3184	2141	248
specI_v3_Cluster7652	945	720	1191	1266	91
specI_v3_Cluster2390	1572	1257	3003	1825	202
specI_v3_Cluster3956	1726	1394	2119	1964	239
specI_v3_Cluster7695	1720	1391	2079	1954	228
specI_v3_Cluster6317	2328	1870	5782	2582	339
specI_v3_Cluster3613	1069	834	1526	1389	107
specI_v3_Cluster7628	977	761	1448	1289	97
specI_v3_Cluster3617	803	647	1266	1094	88
specI_v3_Cluster315	1657	1335	1897	1981	203
specI_v3_Cluster1949	1678	1311	2465	1933	234
specI_v3_Cluster7662	1740	1356	2093	1987	236
specI_v3_Cluster4662	1886	1510	3119	2085	271
specI_v3_Cluster11463	1682	1375	3051	1967	221
specI_v3_Cluster1910	1688	1322	2049	1907	236
specI_v3_Cluster3955	1539	1265	2211	1754	224
specI_v3_Cluster7703	1716	1354	2544	2022	223
specI_v3_Cluster7585	1025	818	1509	1277	128
specI_v3_Cluster7708	1587	1261	2281	1818	213
specI_v3_Cluster3620	1524	1214	2098	1732	221
specI_v3_Cluster7716	1568	1222	1680	1862	182
specI_v3_Cluster6346	1991	1584	2420	2200	287
specI_v3_Cluster9389	1618	1330	3021	1865	242
specI_v3_Cluster3642	1511	1216	2239	1765	205
specI_v3_Cluster5845	1719	1356	2222	1972	237
specI_v3_Cluster940	1789	1454	1876	1961	242
specI_v3_Cluster1938	1849	1487	2015	2040	271
specI_v3_Cluster7682	1234	951	1689	1488	150
specI_v3_Cluster3654	1464	1120	2087	1706	202
specI_v3_Cluster4703	1526	1190	2416	1767	201
specI_v3_Cluster5195	1985	1614	3478	2250	272
specI_v3_Cluster7736	1289	1040	2286	1555	172
specI_v3_Cluster2811	2215	1778	4575	2450	313
specI_v3_Cluster7595	1830	1461	2148	2066	245
specI_v3_Cluster103	3117	2615	4731	3231	445
specI_v3_Cluster87	3273	2712	5304	3349	472
specI_v3_Cluster7674	1526	1214	2224	1794	201
specI_v3_Cluster5920	1509	1189	3436	1788	209
specI_v3_Cluster4547	1318	1062	1823	1566	167
specI_v3_Cluster1039	1274	983	1852	1586	170
specI_v3_Cluster939	1801	1476	1871	1985	241
specI_v3_Cluster10479	1980	1602	3466	2237	269
specI_v3_Cluster7693	1825	1453	2564	2084	251
specI_v3_Cluster3687	1855	1501	2732	2113	268
specI_v3_Cluster3445	2216	1795	5122	2471	312
specI_v3_Cluster1607	1529	1209	1969	1790	206
specI_v3_Cluster2136	1518	1185	1992	1724	221
specI_v3_Cluster10581	1132	870	1276	1364	164
specI_v3_Cluster7709	1255	978	1888	1455	162
specI_v3_Cluster2372	1418	1113	2051	1625	200
specI_v3_Cluster3929	1827	1444	3907	2110	256
specI_v3_Cluster2133	1927	1574	3118	2150	264
specI_v3_Cluster1608	1465	1167	2020	1748	191
specI_v3_Cluster3665	1638	1307	2258	1835	230
specI_v3_Cluster285	1656	1321	2109	1917	208
specI_v3_Cluster282	1728	1397	2113	1974	237
specI_v3_Cluster10254	1576	1269	2106	1806	206
specI_v3_Cluster92	3108	2594	4461	3236	441
specI_v3_Cluster569	1585	1265	1907	1829	206
specI_v3_Cluster7663	973	786	1345	1215	121
specI_v3_Cluster7704	1599	1282	2430	1843	206
specI_v3_Cluster7698	1540	1233	1999	1804	201
specI_v3_Cluster4085	1641	1348	1987	1916	220
specI_v3_Cluster1924	1549	1249	1865	1820	213
specI_v3_Cluster11181	1610	1285	2530	1892	223
specI_v3_Cluster3437	1863	1508	4074	2088	273
specI_v3_Cluster85	3218	2682	4887	3257	478
specI_v3_Cluster7623	1621	1303	2650	1872	209
specI_v3_Cluster7084	1702	1384	2306	1960	229
specI_v3_Cluster11152	1792	1450	3449	2086	230
specI_v3_Cluster1516	1913	1547	2305	2161	270
specI_v3_Cluster7609	668	520	1097	920	69
specI_v3_Cluster7076	1457	1162	1814	1750	187
specI_v3_Cluster1591	1881	1528	2344	2140	252
specI_v3_Cluster3680	1670	1316	3053	1910	231
specI_v3_Cluster3685	1940	1543	3371	2124	287
specI_v3_Cluster11605	1755	1412	3117	1961	255
specI_v3_Cluster10411	1069	819	1693	1419	112
specI_v3_Cluster2376	1633	1326	3147	1854	224
specI_v3_Cluster3671	1797	1434	2845	2010	256
specI_v3_Cluster4328	1891	1532	2162	2073	269
specI_v3_Cluster3571	1220	1006	1691	1444	176
specI_v3_Cluster7711	1559	1232	2197	1800	202
specI_v3_Cluster301	1656	1326	2061	1914	209
specI_v3_Cluster1100	2023	1636	2053	2195	255
specI_v3_Cluster11800	2165	1751	3326	2390	295
specI_v3_Cluster5221	1880	1510	4252	2148	253
specI_v3_Cluster5922	1981	1585	2476	2228	282
specI_v3_Cluster8185	1645	1320	2678	1885	218
specI_v3_Cluster900	1697	1381	2101	1975	220
specI_v3_Cluster4336	2010	1628	3626	2246	276
specI_v3_Cluster7602	1743	1374	2542	1940	262
specI_v3_Cluster2160	1959	1566	3923	2228	269
specI_v3_Cluster3603	1572	1250	2772	1834	226
specI_v3_Cluster2700	1513	1192	1863	1748	212
specI_v3_Cluster3443	2170	1740	4859	2441	322
specI_v3_Cluster9408	1552	1225	2551	1778	203
specI_v3_Cluster1040	1232	953	1996	1531	162
specI_v3_Cluster1018	1939	1526	2724	2231	259
specI_v3_Cluster7603	1444	1145	2258	1658	214
specI_v3_Cluster11256	2013	1621	3023	2233	282
specI_v3_Cluster7728	1614	1267	2254	1867	205
specI_v3_Cluster3435	2195	1778	6126	2447	320
specI_v3_Cluster5400	2198	1786	4577	2410	309
specI_v3_Cluster7702	1789	1463	2265	2026	234
specI_v3_Cluster567	1589	1278	1999	1846	201
specI_v3_Cluster1061	1647	1282	3499	1930	228
specI_v3_Cluster7717	1285	1012	1732	1625	141
specI_v3_Cluster11608	1981	1594	3418	2210	282
specI_v3_Cluster3623	1781	1418	2953	2056	236
specI_v3_Cluster2702	1494	1189	1895	1746	206
specI_v3_Cluster3478	2066	1649	4977	2290	275
specI_v3_Cluster11151	1655	1301	2880	1940	214
specI_v3_Cluster306	1606	1290	1828	1868	203
specI_v3_Cluster84	3173	2663	5360	3240	471
specI_v3_Cluster7629	1288	992	2120	1546	166
specI_v3_Cluster11607	1824	1449	3216	2103	225
specI_v3_Cluster7678	1561	1250	2044	1773	231
specI_v3_Cluster3432	1947	1562	2556	2164	276
specI_v3_Cluster3477	2214	1787	5054	2437	309
specI_v3_Cluster5921	1578	1242	4272	1875	214
specI_v3_Cluster7667	1605	1281	2184	1824	227
specI_v3_Cluster4545	1436	1126	1909	1730	182
specI_v3_Cluster3928	1967	1570	3440	2237	242
specI_v3_Cluster3625	1324	1047	1758	1590	168
specI_v3_Cluster6282	1951	1547	2632	2163	290
specI_v3_Cluster3614	1009	780	1406	1316	98
specI_v3_Cluster3446	2289	1839	6599	2628	310
specI_v3_Cluster7315	1583	1283	3970	1847	214
specI_v3_Cluster7684	1492	1191	2349	1699	215
specI_v3_Cluster2703	1460	1144	1700	1694	202
specI_v3_Cluster7700	1605	1320	1975	1844	216
specI_v3_Cluster7707	1551	1248	2000	1780	208
specI_v3_Cluster3444	1816	1475	2914	2056	269
specI_v3_Cluster321	1869	1492	3010	2149	263
specI_v3_Cluster7314	1643	1330	2757	1885	215
specI_v3_Cluster7649	709	552	1150	970	74
specI_v3_Cluster10124	1921	1523	3260	2168	259
specI_v3_Cluster9171	1887	1531	2917	2166	271
specI_v3_Cluster7610	751	591	1068	1019	71
specI_v3_Cluster7699	1666	1344	1968	1877	220
specI_v3_Cluster11912	2171	1756	3981	2388	310
specI_v3_Cluster7616	1699	1350	2237	1974	215
specI_v3_Cluster930	1937	1579	3196	2143	278
specI_v3_Cluster3954	1696	1359	2133	1957	226
specI_v3_Cluster3630	1174	935	1247	1434	151
specI_v3_Cluster3572	1227	1006	1890	1454	175
specI_v3_Cluster11479	1937	1539	2307	2211	242
specI_v3_Cluster7622	1319	1028	1391	1554	158
specI_v3_Cluster324	1855	1493	2571	2099	246
specI_v3_Cluster11859	1400	1116	2137	1660	185
specI_v3_Cluster310	1731	1410	1991	1984	230
specI_v3_Cluster7670	1527	1177	1626	1786	203
specI_v3_Cluster3678	1217	921	1487	1503	150
specI_v3_Cluster3675	1669	1339	2779	1877	233
specI_v3_Cluster65	3160	2641	5264	3244	456
specI_v3_Cluster1576	2133	1719	4289	2353	295
specI_v3_Cluster3652	1624	1271	2162	1879	205
specI_v3_Cluster7725	701	550	1321	975	68
specI_v3_Cluster6308	2067	1650	3122	2292	307
specI_v3_Cluster1914	1616	1274	2130	1851	231
specI_v3_Cluster3645	1830	1482	3257	2084	243
specI_v3_Cluster3609	1688	1355	2517	1943	214
specI_v3_Cluster7665	1624	1298	1843	1878	219
specI_v3_Cluster3601	1662	1350	3124	1954	216
specI_v3_Cluster1939	1853	1469	2055	2027	268
specI_v3_Cluster1911	1662	1300	1991	1888	242
specI_v3_Cluster7614	1353	1047	2010	1601	183
