sample	expe	category	phylum	occurrence
MH0101	addedvalue_com	AS	Firmicutes_A	2
MH0101	addedvalue_com	ES	Bacteroidota	1
MH0101	addedvalue_com	ES	Firmicutes	1
MH0101	addedvalue_com	ES	Firmicutes_A	10
MH0101	addedvalue_com	KS	Bacteroidota	8
MH0101	addedvalue_com	KS	Firmicutes	3
MH0101	addedvalue_com	KS	Firmicutes_A	12
MH0109	fulltargets_com	AS	Bacteroidota	2
MH0109	fulltargets_com	AS	Firmicutes_A	1
MH0109	fulltargets_com	AS	Proteobacteria	1
MH0109	fulltargets_com	ES	Bacteroidota	11
MH0109	fulltargets_com	ES	Firmicutes_A	14
MH0109	fulltargets_com	ES	Firmicutes_C	1
MH0109	fulltargets_com	ES	Proteobacteria	1
MH0109	fulltargets_com	KS	Bacteroidota	13
MH0109	fulltargets_com	KS	Firmicutes_A	15
MH0109	fulltargets_com	KS	Firmicutes_C	1
MH0109	fulltargets_com	KS	Proteobacteria	2
MH0109	addedvalue_com	AS	Bacteroidota	9
MH0109	addedvalue_com	AS	Firmicutes	2
MH0109	addedvalue_com	AS	Firmicutes_A	6
MH0109	addedvalue_com	AS	Firmicutes_C	1
MH0109	addedvalue_com	AS	Proteobacteria	1
MH0109	addedvalue_com	ES	Bacteroidota	4
MH0109	addedvalue_com	ES	Firmicutes_A	8
MH0109	addedvalue_com	ES	Proteobacteria	1
MH0109	addedvalue_com	KS	Bacteroidota	13
MH0109	addedvalue_com	KS	Firmicutes	2
MH0109	addedvalue_com	KS	Firmicutes_A	14
MH0109	addedvalue_com	KS	Firmicutes_C	1
MH0109	addedvalue_com	KS	Proteobacteria	2
MH0114	fulltargets_com	AS	Bacteroidota	3
MH0114	fulltargets_com	AS	Firmicutes	1
MH0114	fulltargets_com	AS	Firmicutes_A	2
MH0114	fulltargets_com	ES	Bacteroidota	11
MH0114	fulltargets_com	ES	Firmicutes	2
MH0114	fulltargets_com	ES	Firmicutes_A	15
MH0114	fulltargets_com	ES	Firmicutes_C	1
MH0114	fulltargets_com	ES	Proteobacteria	1
MH0114	fulltargets_com	KS	Bacteroidota	14
MH0114	fulltargets_com	KS	Firmicutes	3
MH0114	fulltargets_com	KS	Firmicutes_A	17
MH0114	fulltargets_com	KS	Firmicutes_C	1
MH0114	fulltargets_com	KS	Proteobacteria	1
MH0114	addedvalue_com	AS	Bacteroidota	1
MH0114	addedvalue_com	AS	Firmicutes	1
MH0114	addedvalue_com	ES	Bacteroidota	9
MH0114	addedvalue_com	ES	Firmicutes	2
MH0114	addedvalue_com	ES	Firmicutes_A	10
MH0114	addedvalue_com	KS	Bacteroidota	10
MH0114	addedvalue_com	KS	Firmicutes	3
MH0114	addedvalue_com	KS	Firmicutes_A	10
MH0119	fulltargets_com	AS	Bacteroidota	13
MH0119	fulltargets_com	AS	Firmicutes_A	10
MH0119	fulltargets_com	AS	Proteobacteria	1
MH0119	fulltargets_com	ES	Bacteroidota	12
MH0119	fulltargets_com	ES	Firmicutes_A	20
MH0119	fulltargets_com	ES	Firmicutes_C	1
MH0119	fulltargets_com	ES	Proteobacteria	2
MH0119	fulltargets_com	KS	Bacteroidota	25
MH0119	fulltargets_com	KS	Firmicutes_A	30
MH0119	fulltargets_com	KS	Firmicutes_C	1
MH0119	fulltargets_com	KS	Proteobacteria	3
MH0119	addedvalue_com	AS	Bacteroidota	8
MH0119	addedvalue_com	AS	Firmicutes_A	7
MH0119	addedvalue_com	AS	Proteobacteria	1
MH0119	addedvalue_com	ES	Bacteroidota	9
MH0119	addedvalue_com	ES	Firmicutes_A	14
MH0119	addedvalue_com	ES	Proteobacteria	2
MH0119	addedvalue_com	KS	Bacteroidota	17
MH0119	addedvalue_com	KS	Firmicutes_A	21
MH0119	addedvalue_com	KS	Proteobacteria	3
MH0120	fulltargets_com	AS	Bacteroidota	6
MH0120	fulltargets_com	AS	Firmicutes_A	1
MH0120	fulltargets_com	AS	Firmicutes_C	1
MH0120	fulltargets_com	ES	Bacteroidota	12
MH0120	fulltargets_com	ES	Firmicutes	3
MH0120	fulltargets_com	ES	Firmicutes_A	15
MH0120	fulltargets_com	ES	Firmicutes_C	2
MH0120	fulltargets_com	ES	Proteobacteria	1
MH0120	fulltargets_com	KS	Bacteroidota	18
MH0120	fulltargets_com	KS	Firmicutes	3
MH0120	fulltargets_com	KS	Firmicutes_A	16
MH0120	fulltargets_com	KS	Firmicutes_C	3
MH0120	fulltargets_com	KS	Proteobacteria	1
MH0120	addedvalue_com	AS	Bacteroidota	10
MH0120	addedvalue_com	AS	Firmicutes	2
MH0120	addedvalue_com	AS	Firmicutes_A	4
MH0120	addedvalue_com	ES	Bacteroidota	8
MH0120	addedvalue_com	ES	Firmicutes	1
MH0120	addedvalue_com	ES	Firmicutes_A	9
MH0120	addedvalue_com	ES	Firmicutes_C	1
MH0120	addedvalue_com	KS	Bacteroidota	18
MH0120	addedvalue_com	KS	Firmicutes	3
MH0120	addedvalue_com	KS	Firmicutes_A	13
MH0120	addedvalue_com	KS	Firmicutes_C	1
MH0128	fulltargets_com	AS	Bacteroidota	11
MH0128	fulltargets_com	AS	Firmicutes_A	12
MH0128	fulltargets_com	AS	Proteobacteria	1
MH0128	fulltargets_com	ES	Bacteroidota	10
MH0128	fulltargets_com	ES	Firmicutes_A	12
MH0128	fulltargets_com	ES	Firmicutes_C	1
MH0128	fulltargets_com	ES	Proteobacteria	2
MH0128	fulltargets_com	KS	Bacteroidota	21
MH0128	fulltargets_com	KS	Firmicutes_A	24
MH0128	fulltargets_com	KS	Firmicutes_C	1
MH0128	fulltargets_com	KS	Proteobacteria	3
MH0128	addedvalue_com	AS	Bacteroidota	1
MH0128	addedvalue_com	AS	Firmicutes_A	3
MH0128	addedvalue_com	ES	Bacteroidota	10
MH0128	addedvalue_com	ES	Firmicutes_A	9
MH0128	addedvalue_com	ES	Proteobacteria	2
MH0128	addedvalue_com	KS	Bacteroidota	11
MH0128	addedvalue_com	KS	Firmicutes_A	12
MH0128	addedvalue_com	KS	Proteobacteria	2
MH0129	fulltargets_com	AS	Bacteroidota	3
MH0129	fulltargets_com	AS	Firmicutes_A	1
MH0129	fulltargets_com	ES	Actinobacteriota	1
MH0129	fulltargets_com	ES	Bacteroidota	8
MH0129	fulltargets_com	ES	Cyanobacteria	1
MH0129	fulltargets_com	ES	Firmicutes	3
MH0129	fulltargets_com	ES	Firmicutes_A	19
MH0129	fulltargets_com	ES	Firmicutes_C	1
MH0129	fulltargets_com	ES	Proteobacteria	1
MH0129	fulltargets_com	KS	Actinobacteriota	1
MH0129	fulltargets_com	KS	Bacteroidota	11
MH0129	fulltargets_com	KS	Cyanobacteria	1
MH0129	fulltargets_com	KS	Firmicutes	3
MH0129	fulltargets_com	KS	Firmicutes_A	20
MH0129	fulltargets_com	KS	Firmicutes_C	1
MH0129	fulltargets_com	KS	Proteobacteria	1
MH0129	addedvalue_com	AS	Bacteroidota	10
MH0129	addedvalue_com	AS	Firmicutes	2
MH0129	addedvalue_com	AS	Firmicutes_A	6
MH0129	addedvalue_com	ES	Bacteroidota	4
MH0129	addedvalue_com	ES	Firmicutes_A	11
MH0129	addedvalue_com	ES	Firmicutes_C	1
MH0129	addedvalue_com	ES	Proteobacteria	1
MH0129	addedvalue_com	KS	Bacteroidota	14
MH0129	addedvalue_com	KS	Firmicutes	2
MH0129	addedvalue_com	KS	Firmicutes_A	17
MH0129	addedvalue_com	KS	Firmicutes_C	1
MH0129	addedvalue_com	KS	Proteobacteria	1
MH0132	fulltargets_com	AS	Bacteroidota	3
MH0132	fulltargets_com	AS	Firmicutes_A	8
MH0132	fulltargets_com	AS	Firmicutes_C	2
MH0132	fulltargets_com	ES	Actinobacteriota	1
MH0132	fulltargets_com	ES	Bacteroidota	8
MH0132	fulltargets_com	ES	Euryarchaeota	1
MH0132	fulltargets_com	ES	Firmicutes	5
MH0132	fulltargets_com	ES	Firmicutes_A	16
MH0132	fulltargets_com	ES	Firmicutes_C	1
MH0132	fulltargets_com	KS	Actinobacteriota	1
MH0132	fulltargets_com	KS	Bacteroidota	11
MH0132	fulltargets_com	KS	Euryarchaeota	1
MH0132	fulltargets_com	KS	Firmicutes	5
MH0132	fulltargets_com	KS	Firmicutes_A	24
MH0132	fulltargets_com	KS	Firmicutes_C	3
MH0132	addedvalue_com	AS	Bacteroidota	3
MH0132	addedvalue_com	AS	Firmicutes	1
MH0132	addedvalue_com	AS	Firmicutes_A	7
MH0132	addedvalue_com	AS	Firmicutes_C	2
MH0132	addedvalue_com	AS	Spirochaetota	1
MH0132	addedvalue_com	ES	Actinobacteriota	1
MH0132	addedvalue_com	ES	Bacteroidota	5
MH0132	addedvalue_com	ES	Firmicutes	3
MH0132	addedvalue_com	ES	Firmicutes_A	10
MH0132	addedvalue_com	ES	Firmicutes_C	1
MH0132	addedvalue_com	KS	Actinobacteriota	1
MH0132	addedvalue_com	KS	Bacteroidota	8
MH0132	addedvalue_com	KS	Firmicutes	4
MH0132	addedvalue_com	KS	Firmicutes_A	17
MH0132	addedvalue_com	KS	Firmicutes_C	3
MH0132	addedvalue_com	KS	Spirochaetota	1
MH0135	fulltargets_com	AS	Bacteroidota	6
MH0135	fulltargets_com	AS	Firmicutes	3
MH0135	fulltargets_com	AS	Firmicutes_A	5
MH0135	fulltargets_com	ES	Bacteroidota	11
MH0135	fulltargets_com	ES	Cyanobacteria	1
MH0135	fulltargets_com	ES	Firmicutes	2
MH0135	fulltargets_com	ES	Firmicutes_A	15
MH0135	fulltargets_com	ES	Proteobacteria	3
MH0135	fulltargets_com	KS	Bacteroidota	17
MH0135	fulltargets_com	KS	Cyanobacteria	1
MH0135	fulltargets_com	KS	Firmicutes	5
MH0135	fulltargets_com	KS	Firmicutes_A	20
MH0135	fulltargets_com	KS	Proteobacteria	3
MH0135	addedvalue_com	AS	Bacteroidota	10
MH0135	addedvalue_com	AS	Firmicutes	2
MH0135	addedvalue_com	AS	Firmicutes_A	6
MH0135	addedvalue_com	ES	Bacteroidota	8
MH0135	addedvalue_com	ES	Firmicutes	2
MH0135	addedvalue_com	ES	Firmicutes_A	5
MH0135	addedvalue_com	ES	Proteobacteria	3
MH0135	addedvalue_com	KS	Bacteroidota	18
MH0135	addedvalue_com	KS	Firmicutes	4
MH0135	addedvalue_com	KS	Firmicutes_A	11
MH0135	addedvalue_com	KS	Proteobacteria	3
MH0149	fulltargets_com	AS	Bacteroidota	5
MH0149	fulltargets_com	AS	Firmicutes	1
MH0149	fulltargets_com	AS	Firmicutes_A	4
MH0149	fulltargets_com	ES	Bacteroidota	8
MH0149	fulltargets_com	ES	Cyanobacteria	1
MH0149	fulltargets_com	ES	Firmicutes	2
MH0149	fulltargets_com	ES	Firmicutes_A	18
MH0149	fulltargets_com	ES	Proteobacteria	1
MH0149	fulltargets_com	ES	Verrucomicrobiota	1
MH0149	fulltargets_com	KS	Bacteroidota	13
MH0149	fulltargets_com	KS	Cyanobacteria	1
MH0149	fulltargets_com	KS	Firmicutes	3
MH0149	fulltargets_com	KS	Firmicutes_A	22
MH0149	fulltargets_com	KS	Proteobacteria	1
MH0149	fulltargets_com	KS	Verrucomicrobiota	1
MH0149	addedvalue_com	AS	Bacteroidota	5
MH0149	addedvalue_com	AS	Firmicutes	1
MH0149	addedvalue_com	AS	Firmicutes_A	8
MH0149	addedvalue_com	ES	Bacteroidota	6
MH0149	addedvalue_com	ES	Firmicutes	1
MH0149	addedvalue_com	ES	Firmicutes_A	8
MH0149	addedvalue_com	ES	Verrucomicrobiota	1
MH0149	addedvalue_com	KS	Bacteroidota	11
MH0149	addedvalue_com	KS	Firmicutes	2
MH0149	addedvalue_com	KS	Firmicutes_A	16
MH0149	addedvalue_com	KS	Verrucomicrobiota	1
MH0155	fulltargets_com	AS	Bacteroidota	9
MH0155	fulltargets_com	AS	Firmicutes	3
MH0155	fulltargets_com	AS	Firmicutes_A	4
MH0155	fulltargets_com	AS	Firmicutes_C	1
MH0155	fulltargets_com	AS	Proteobacteria	1
MH0155	fulltargets_com	ES	Bacteroidota	10
MH0155	fulltargets_com	ES	Cyanobacteria	1
MH0155	fulltargets_com	ES	Firmicutes	1
MH0155	fulltargets_com	ES	Firmicutes_A	16
MH0155	fulltargets_com	KS	Bacteroidota	19
MH0155	fulltargets_com	KS	Cyanobacteria	1
MH0155	fulltargets_com	KS	Firmicutes	4
MH0155	fulltargets_com	KS	Firmicutes_A	20
MH0155	fulltargets_com	KS	Firmicutes_C	1
MH0155	fulltargets_com	KS	Proteobacteria	1
MH0155	addedvalue_com	AS	Bacteroidota	5
MH0155	addedvalue_com	AS	Firmicutes	2
MH0155	addedvalue_com	AS	Firmicutes_A	4
MH0155	addedvalue_com	ES	Bacteroidota	8
MH0155	addedvalue_com	ES	Firmicutes_A	11
MH0155	addedvalue_com	KS	Bacteroidota	13
MH0155	addedvalue_com	KS	Firmicutes	2
MH0155	addedvalue_com	KS	Firmicutes_A	15
MH0161	fulltargets_com	AS	Actinobacteriota	2
MH0161	fulltargets_com	AS	Bacteroidota	11
MH0161	fulltargets_com	AS	Firmicutes	3
MH0161	fulltargets_com	AS	Firmicutes_A	15
MH0161	fulltargets_com	AS	Firmicutes_C	2
MH0161	fulltargets_com	ES	Actinobacteriota	1
MH0161	fulltargets_com	ES	Bacteroidota	6
MH0161	fulltargets_com	ES	Firmicutes	3
MH0161	fulltargets_com	ES	Firmicutes_A	21
MH0161	fulltargets_com	ES	Firmicutes_C	1
MH0161	fulltargets_com	ES	Proteobacteria	1
MH0161	fulltargets_com	KS	Actinobacteriota	3
MH0161	fulltargets_com	KS	Bacteroidota	17
MH0161	fulltargets_com	KS	Firmicutes	6
MH0161	fulltargets_com	KS	Firmicutes_A	36
MH0161	fulltargets_com	KS	Firmicutes_C	3
MH0161	fulltargets_com	KS	Proteobacteria	1
MH0161	addedvalue_com	AS	Actinobacteriota	2
MH0161	addedvalue_com	AS	Bacteroidota	9
MH0161	addedvalue_com	AS	Firmicutes	1
MH0161	addedvalue_com	AS	Firmicutes_A	8
MH0161	addedvalue_com	AS	Proteobacteria	1
MH0161	addedvalue_com	ES	Actinobacteriota	1
MH0161	addedvalue_com	ES	Bacteroidota	5
MH0161	addedvalue_com	ES	Firmicutes	2
MH0161	addedvalue_com	ES	Firmicutes_A	17
MH0161	addedvalue_com	KS	Actinobacteriota	3
MH0161	addedvalue_com	KS	Bacteroidota	14
MH0161	addedvalue_com	KS	Firmicutes	3
MH0161	addedvalue_com	KS	Firmicutes_A	25
MH0161	addedvalue_com	KS	Proteobacteria	1
MH0167	fulltargets_com	AS	Bacteroidota	4
MH0167	fulltargets_com	AS	Firmicutes_A	2
MH0167	fulltargets_com	ES	Bacteroidota	11
MH0167	fulltargets_com	ES	Firmicutes_A	15
MH0167	fulltargets_com	ES	Firmicutes_C	1
MH0167	fulltargets_com	ES	Proteobacteria	1
MH0167	fulltargets_com	KS	Bacteroidota	15
MH0167	fulltargets_com	KS	Firmicutes_A	17
MH0167	fulltargets_com	KS	Firmicutes_C	1
MH0167	fulltargets_com	KS	Proteobacteria	1
MH0167	addedvalue_com	AS	Bacteroidota	2
MH0167	addedvalue_com	AS	Firmicutes_A	1
MH0167	addedvalue_com	AS	Firmicutes_C	1
MH0167	addedvalue_com	ES	Bacteroidota	10
MH0167	addedvalue_com	ES	Firmicutes_A	6
MH0167	addedvalue_com	KS	Bacteroidota	12
MH0167	addedvalue_com	KS	Firmicutes_A	7
